id,name,location,description,slug,sponsored,website,global_rank,financials,student_loan_available,campus_student_life,number_of_students,student_to_faculty_ratio,international_student_ratio,housing_availability,admissions_contact,admissions_phone,contact_person,admissions_page_link,immigration_support,university_campuses,data_quality_score,confidence_notes
42,"Hanoi Medical University, Vietnam",704,"Founded in 1902, Hanoi Medical University (HMU) is the oldest and most prestigious medical institution in Vietnam. Located at No. 1 Ton That Tung Street, Dong Da District, Hanoi, the university offers comprehensive programs in General Medicine, Dentistry, Nursing, Public Health, and Pharmacy across undergraduate, Master's, and Doctoral levels. HMU is consistently ranked as the top medical school in the country and is recognized for its rigorous academic standards and high-quality research output. The institution is unique for its deep integration with Vietnam's leading hospitals, providing students with unparalleled clinical experience and hands-on training.",hanoi-medical-university,0,https://hmu.edu.vn/,,"VND 25tr-60tr ($1,000-$2,400)",0,"Situated in the bustling heart of Hanoi, the campus offers a focused and intense academic atmosphere tailored for future healthcare professionals. Students have access to specialized medical simulation laboratories, a comprehensive medical library with extensive digital archives, and modern lecture halls. The university experience is enriched by proximity to major teaching hospitals, allowing for a seamless transition between theory and practice, while various student-led medical research clubs and volunteer health organizations foster a spirit of community service and professional growth.",12000,12,2,1,tuyensinh@hmu.edu.vn,+842438523144,,https://hmu.edu.vn/tuyen-sinh,1,1,55,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated
43,"Hanoi University of Pharmacy, Vietnam",704,"Established with a history of over 120 years, Hanoi University of Pharmacy (HUP) is one of Vietnam's most prestigious institutions specializing in pharmaceutical sciences. Located at 13-15 Le Thanh Tong Street, Cua Nam Ward, Hanoi, the university is celebrated for its stunning French colonial architecture that gives the campus a castle-like appearance. The institution offers a comprehensive array of programs, including undergraduate pharmacy degrees, Specialist Level I and II certifications, and advanced postgraduate research in clinical pharmacy and pharmaceutical technology. As a key national institution in the health sector, HUP is renowned for its rigorous academic standards and its role in shaping the country's pharmaceutical workforce. The university is uniquely distinguished by its deep historical roots and its commitment to serving community health through high-quality medical education.",hanoi-university-of-pharmacy,0,http://www.hup.edu.vn/,,"VND 20tr-50tr ($800-$2,000)",0,"The campus is a harmonious blend of classical French architecture and modern academic facilities, creating an inspiring and nostalgic atmosphere for students in the heart of Hanoi. Student life is vibrant and community-oriented, featuring signature events such as Pharma Fest and the HUPRUNNER marathon, which promote both professional networking and physical health. Students are actively involved in social responsibility projects, including the 'Green Banh Chung' charity drive and blood donation campaigns, fostering a spirit of compassion and service. With dedicated boarding facilities and a strong alumni network, the university provides an immersive ecosystem where academic rigor meets a rich tradition of student activism and personal growth.",4000,15,1,1,info@hup.edu.vn,+842438254539,,http://www.hup.edu.vn/tuyen-sinh,0,1,80,all_extracted
44,"Hanoi University of Public Health, Vietnam",704,"Established in 1981, the Hanoi University of Public Health (HUPH) is Vietnam's premier institution dedicated to the training and research of public health professionals. Located at 138A Giang Vo Street, Ba Dinh District, Hanoi, the university offers a comprehensive range of undergraduate, Master's, and Doctoral degrees in fields such as Public Health, Nursing, Health Management, and Environmental Health. HUPH is renowned for its strong partnerships with the World Health Organization (WHO) and other international health agencies, ensuring its curriculum meets global standards. The university is uniquely positioned as the national hub for developing health policies and improving community health outcomes across Vietnam.",hanoi-university-of-public-health,0,http://www.huph.edu.vn/,,"VND 15tr-30tr ($600-$1,200)",0,"Situated in the heart of Hanoi's Ba Dinh District, the campus blends academic rigor with a supportive community atmosphere. Students have access to specialized public health laboratories, a well-stocked medical library, and modern lecture halls designed for collaborative learning. Beyond the classroom, the university fosters a vibrant student culture through various health-focused clubs, community outreach programs, and sports activities. On-campus housing and convenient local amenities provide a comfortable living environment, while the proximity to government health ministries offers students unparalleled networking and internship opportunities.",6000,20,2,1,daotao@huph.edu.vn,+842438513121,,http://www.huph.edu.vn/daotao,0,1,55,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated
45,"Vietnam Academy of Traditional Medicine, Vietnam",704,"Established on February 2, 2005, under the Prime Minister's Decision, the Vietnam Academy of Traditional Medicine was developed from the foundation of the Tue Tinh Traditional Medicine Secondary School. Located at No. 2 Tran Phu, Ha Dong, Hanoi, the institution serves as a premier center for the integration of traditional and modern medical sciences. The academy offers a comprehensive academic ladder, including Doctorate, Master's, and Specialist degrees in Traditional Medicine, alongside undergraduate programs for General Practitioners and Pharmacists. It is uniquely distinguished by its own clinical practice base, Tue Tinh Hospital, and the Tue Tinh Research Institute, which facilitate high-level scientific research and practical application. The institution is recognized for its commitment to preserving traditional healing arts while meeting modern healthcare standards.",vietnam-academy-of-traditional-medicine,0,http://www.vutm.edu.vn,,"VND 20tr-50tr ($800-$2,000)",0,"The campus in Ha Dong, Hanoi, is a specialized medical environment featuring the prestigious Hai Thuong Lan Ong Hall for academic conferences and a comprehensive library for specialized research. Students benefit from a dedicated pre-clinical practice center and a modern IT center that supports digital learning. The immersive educational experience is anchored by the adjacent Tue Tinh Hospital, where students transition from theory to practice in a real-world clinical setting. The campus atmosphere is further enriched by a community of scholars and practitioners dedicated to the study of traditional medicine, creating a focused yet vibrant ecosystem for future healthcare professionals.",5000,15,2,1,hocvienyduoc@ms.vutm.edu.vn,+842433824929,,http://www.vutm.edu.vn/vi/hoi-dong-khoa-hoc-va-dao-tao.nl.html,0,1,63,number_of_students=estimated; student_to_faculty_ratio=estimated
46,"University of Medicine and Pharmacy at Ho Chi Minh City, Vietnam",704,"The University of Medicine and Pharmacy at Ho Chi Minh City (UMP) is one of Vietnam's most prestigious medical institutions, dedicated to training high-quality healthcare professionals. Located at 217 Hong Bang Street, Cho Lon Ward, Ho Chi Minh City, the university serves as a primary hub for medical education in southern Vietnam. It offers a comprehensive array of degrees across several specialized units, including the School of Medicine, School of Pharmacy, School of Nursing and Medical Technology, and faculties of Odonto-Stomatology, Basic Sciences, Public Health, and Traditional Medicine. The institution is highly regarded for its academic rigor and research excellence, recently achieving top honors at the Eureka Student Scientific Research Awards. What makes UMP unique is its seamless integration of theoretical study with intensive clinical practice through its own University Medical Center.",university-of-medicine-and-pharmacy-at-hcmc,0,https://ump.edu.vn/,,"VND 40tr-80tr ($1,600-$3,200)",0,"The campus is a high-energy academic environment characterized by a blend of traditional medical discipline and modern facilities, including a prominent 15-story main building and a comprehensive digital library. Students experience an immersive educational journey where they transition from lecture halls to the high-pressure clinical settings of the affiliated University Medical Center. Life at UMP is enriched by a strong culture of volunteerism, notably through the 'White Blouse' volunteer programs, and a competitive research atmosphere that encourages students to pursue scientific innovation. With available on-campus dormitories and a variety of student-led academic clubs, the university creates a supportive ecosystem that balances rigorous medical training with personal and professional development.",12000,15,2,1,hanhchinh@ump.edu.vn,+842838558411,,https://ump.edu.vn/tuyen-sinh-dao-tao,0,6,80,all_extracted
47,"Hai Phong University of Medicine and Pharmacy, Vietnam",704,"Founded in 1960, Hai Phong University of Medicine and Pharmacy is a prestigious public institution dedicated to training healthcare professionals in Northern Vietnam. Located at 1 Lach Tray, Ngo Quyen District, Hai Phong City, the university offers comprehensive undergraduate and postgraduate programs in General Medicine, Pharmacy, Nursing, and Public Health. The institution is renowned for its strong clinical training integration with major regional hospitals, ensuring students gain extensive hands-on experience. As a key medical hub for the coastal region, it is recognized for producing high-quality physicians and pharmacists who serve the community's diverse health needs. The university continues to expand its research capabilities to meet modern international medical standards.",hai-phong-university-of-medicine-and-pharmacy,0,http://www.hpmu.edu.vn,,"VND 20tr-50tr ($800-$2,000)",0,"The campus offers a focused academic environment where students balance rigorous medical studies with active community engagement. Students have access to specialized anatomy labs, a comprehensive medical library, and modern lecture halls designed for clinical case studies. Life at the university is characterized by a strong sense of camaraderie, with various student-led medical volunteer groups and health awareness clubs that frequently organize community outreach programs. The proximity to the city center and local hospitals allows students to seamlessly transition between theoretical learning and practical application, while on-campus dormitories provide a supportive living space for those arriving from other provinces.",6000,15,2,1,tuyensinh@hpmu.edu.vn,+842253842111,,http://www.hpmu.edu.vn/tuyensinh,0,1,38,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated; admissions_page_link=estimated; description=estimated
48,"Hai Duong Medical Technical University, Vietnam",704,"Hai Duong Medical Technical University (HMTU) is a specialized healthcare institution dedicated to training high-quality medical professionals in Hai Duong Province. Located in Hai Duong City, the university focuses on integrating theoretical knowledge with rigorous clinical practice to meet the growing demands of the national healthcare system. The institution offers a diverse range of undergraduate degrees, including General Medicine, Nursing, Medical Imaging Technology, and Rehabilitation Techniques. For advanced practitioners, HMTU provides postgraduate programs such as Master's degrees and Specialist I certifications in Nursing, Internal Medicine, and Rehabilitation. The university is distinguished by its commitment to digital transformation and strong international partnerships, including collaborations with Fulbright scholars and German healthcare firms like TalentOrange GmbH.",hai-duong-medical-technical-university,0,http://www.hmtu.edu.vn/,,"VND 20tr-50tr ($800-$2,000)",0,"The campus in Hai Duong City fosters a professional yet dynamic environment where students engage in a blend of academic rigor and extracurricular vitality. Students have access to specialized medical laboratories, a comprehensive library, and modern lecture halls designed for medical simulation and digital testing. Beyond the classroom, the university promotes a healthy lifestyle through sports competitions, such as pickleball, and encourages global perspectives through international exchange programs and workshops. This immersive ecosystem ensures that future healthcare providers develop not only technical expertise but also the empathy and soft skills required for patient care.",3000,15,1,1,,,,,0,1,45,number_of_students=estimated; admissions_page_link=not_found; website=not_found
49,"Thai Binh University of Medicine and Pharmacy, Vietnam",704,"Established in 1968, Thai Binh University of Medicine and Pharmacy (TBUMP) is a prestigious medical institution located in the Red River Delta region. Situated at 101 Tran Hung Dao Street, Thai Binh City, the university serves as a critical training hub for healthcare professionals in Northern Vietnam. The institution offers a comprehensive range of undergraduate, Master's, and Doctoral programs in fields such as Medicine, Pharmacy, Nursing, Odonto-Stomatology, and Medical Laboratory Technology. TBUMP is highly regarded for its rigorous academic curriculum and its strong emphasis on clinical practice through extensive partnerships with regional hospitals. The university stands out for its long-standing history of contributing to the national healthcare workforce and its commitment to medical research and community health service.",thai-binh-university-of-medicine-and-pharmacy,0,http://www.tbump.edu.vn/,,"VND 30tr-60tr ($1,200-$2,400)",0,"The campus provides a focused and professional environment tailored to the intensive needs of medical students, featuring specialized anatomy and pharmacology laboratories, a comprehensive medical library, and modern lecture halls. Students benefit from a seamless transition between theoretical study and practical application through clinical rotations at affiliated teaching hospitals. Beyond the classroom, the university fosters a supportive community with various student-led clubs, sports activities, and cultural events, all designed to help students manage the high-pressure nature of medical education within a serene and academic atmosphere.",3500,12,2,1,tuyensinh@tbump.edu.vn,+842253852155,,,0,1,33,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated; admissions_page_link=not_found; description=estimated
50,"Can Tho University of Medicine and Pharmacy, Vietnam",704,"Can Tho University of Medicine and Pharmacy (CTUMP) is a premier medical institution serving the Mekong Delta region and is recognized as one of the top 5 health universities in Vietnam. The university provides a comprehensive academic ecosystem offering undergraduate degrees, postgraduate programs, and highly specialized Resident Doctor training. With a faculty of 543 experienced lecturers, the institution emphasizes a blend of theoretical knowledge and rigorous clinical practice. CTUMP is distinguished by its exceptional outcome rates, with 95% of its graduates successfully securing employment in the healthcare sector. The university plays a pivotal role in developing high-quality medical human resources through strategic partnerships with central and provincial hospitals.",can-tho-university-of-medicine-and-pharmacy,0,http://ctump.edu.vn/,,"VND 20tr-60tr ($800-$2,400)",0,"The campus in Can Tho offers a professional and intensive academic environment tailored for its 14,000 students. It features specialized medical laboratories, a comprehensive library for health sciences, and integrated clinical training facilities through its network of affiliated hospitals. Students engage in a vibrant community of learning, participating in medical research, academic seminars, and community health outreach programs. The atmosphere is one of disciplined growth, where the rigors of medical study are balanced by a strong peer support system and a commitment to serving the healthcare needs of the Southern Vietnamese population.",14000,26,0,1,,,,,0,1,53,admissions_page_link=not_found; website=not_found
51,"Nam Dinh University of Nursing, Vietnam",704,"Nam Dinh University of Nursing is a specialized medical institution that recently celebrated its 20th anniversary since being upgraded to a university. Located at 257 Han Thuyen Street, Nam Dinh City, Nam Dinh Province, the university is a primary center for healthcare training in Northern Vietnam. The institution offers a comprehensive academic portfolio including undergraduate degrees in Nursing, Midwifery, and Nutrition, as well as postgraduate Master's, Doctoral, and Specialist Level I programs. It is organized into five key faculties: Nursing and Midwifery, Public Health, Basic Medicine, Clinical Medicine, and Basic Sciences. The university is uniquely distinguished by its extensive international network, collaborating with prestigious partners from the USA, Austria, South Korea, and Japan to elevate its clinical standards.",nam-dinh-university-of-nursing,0,https://ndun.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The campus in Nam Dinh City offers a focused academic environment tailored for medical professionals, featuring specialized nursing laboratories and a comprehensive digital library for research. Students reside in on-campus dormitories and engage in a lively community led by the Youth Union and Student Association, which organizes diverse events from STEM festivals to cooking competitions. A strong emphasis on social responsibility is evident through volunteer initiatives like the 'Warm Clothes for Highlands' program. Furthermore, the university's strategic partnership with the Vinmec Health System provides students with immersive clinical experience, blending rigorous theoretical study with real-world medical practice.",3000,20,1,1,dieuduong@ndun.edu.vn,+842283649666,,http://ndun.edu.vn/phongquanlydaotao/,0,1,71,number_of_students=estimated
52,"Da Nang University of Medical Technology & Pharmacy, Vietnam",704,"Established as the Medical and Pharmacy School of the Central Highlands on March 26, 1963, in Quang Ngai, the institution has evolved into a premier medical training hub in Central Vietnam. The university is primarily situated at 99 Hung Vuong, Hai Chau District, Da Nang City, with an additional campus in Ngu Hanh Son District. It offers a comprehensive array of healthcare programs through its faculties of Medicine, Pharmacy, Nursing, Odonto-Stomatology, Medical Laboratory, Public Health, and Rehabilitation. The institution provides both undergraduate and postgraduate degrees, emphasizing high-quality human resource development for the healthcare sector. What makes the university unique is its integrated clinical ecosystem, featuring a dedicated Medical Diagnosis Center and a specialized Pre-clinical Skills Training Center to ensure students achieve professional mastery before entering the workforce.",da-nang-university-of-medical-technology-and-pharmacy,0,https://dhktyduocdn.edu.vn/,,"VND 30tr-60tr ($1,200-$2,400)",0,"The campus in Da Nang provides a focused academic environment where technical medical training meets professional growth. Students benefit from a sophisticated Pre-clinical Skills Training Center for hands-on simulation, a modern IT-Communication and Library Center for extensive research, and a dedicated Medical Diagnosis Center that facilitates real-world clinical exposure. The student experience is further enriched by active youth unions and professional clubs, creating a vibrant community dedicated to the philosophy of knowledge, medical ethics, and global integration.",0,0,0,0,daotaodaihoc@dhktyduocdn.edu.vn,+842363892062,,https://dhktyduocdn.edu.vn/news-pages/phong-dao-tao-50,0,2,53,number_of_students=not_found; student_to_faculty_ratio=not_found
53,"Hanoi University of Culture, Vietnam",704,"Established in 1959, the Hanoi University of Culture (HUC) is Vietnam's leading specialized institution dedicated to the study of culture, arts, and heritage management. Located at 41 Tràng Tiền Street, Hoàn Kiếm District, Hanoi, the university provides a comprehensive range of undergraduate and postgraduate degrees across faculties including Culture, Tourism, Library and Information Science, and Museum Studies. The institution is highly regarded for its role in training the nation's cultural administrators and preserving Vietnam's diverse ethnic traditions. HUC is unique for its deep integration with national cultural agencies, offering students unparalleled access to professional archives and heritage sites. Its academic programs are designed to blend traditional Vietnamese values with modern global perspectives on cultural diplomacy.",hanoi-university-of-culture,0,http://www.huc.edu.vn,,"VND 15tr-25tr ($600-$1,000)",0,"Situated in the historic and cultural heart of Hanoi, the campus offers students an immersive urban experience where the city itself serves as a living classroom. Students have access to specialized libraries, art galleries, and performance halls, while the immediate proximity to the Hanoi Opera House and various national museums provides a rich environment for practical study. The university fosters a vibrant social scene through numerous student-led cultural clubs, traditional music ensembles, and annual festivals that celebrate the diverse ethnic identities of Vietnam. With a blend of cozy on-campus dormitories and a lively atmosphere, HUC creates a dynamic ecosystem where artistic creativity and academic rigor meet.",7000,20,1,1,tuyensinh@huc.edu.vn,+842438252111,,http://www.huc.edu.vn/tuyensinh,0,1,55,financials=estimated; number_of_students=estimated; student_to_faculty_ratio=estimated
54,"Hanoi Academy of Theatre and Cinema, Vietnam",704,"Established on December 17, 1980, the Hanoi Academy of Theatre and Cinema is a prestigious public institution under the Ministry of Culture, Sports and Tourism. Located at the Mai Dich Cultural and Artistic Area, Phu Dien Ward, Hanoi, the academy provides comprehensive training at undergraduate, master's, and doctoral levels. Its academic structure comprises specialized faculties in Cinema Arts, National Traditional Opera, Theatre, Dance, Fine Arts Design, Photography, and Television. The institution is distinguished by its role in producing many of Vietnam's most celebrated 'People's Artists' and 'Meritorious Artists.' It uniquely blends traditional Vietnamese performing arts with modern cinematic and digital media technologies through extensive international collaborations with partners in Europe and Asia.",hanoi-academy-of-theatre-and-cinema,0,http://skda.edu.vn/,,"VND 15tr-30tr ($600-$1,200)",0,"The campus serves as a vibrant creative sanctuary within the Mai Dich Cultural and Artistic Area, where students are immersed in a professional artistic ecosystem. It is equipped with specialized facilities including an Experimental Film Studio, an Experimental Theatre, and a dedicated Sound and Light Center, allowing students to apply theoretical knowledge to real-world productions. The academy's Practice Center and Research Magazine foster a culture of intellectual curiosity and artistic experimentation. Students benefit from a dynamic environment characterized by frequent guest lectures from international experts and multidisciplinary collaborations across different art forms, creating a spirited community where traditional heritage meets contemporary avant-garde expression.",3000,15,2,1,skda@fpt.vn,+84437643397,,http://skda.edu.vn/category/co-cau-to-chuc/phong-chuc-nang/phong-dao-tao-quan-ly-khoa-hoc-va-hop-tac-quoc-te/,1,1,58,number_of_students=estimated; website=not_found
55,"Ho Chi Minh City Conservatory of Music, Vietnam",704,"Founded in 1956 as the Saigon National School of Music, the Ho Chi Minh City Conservatory of Music is a premier institution for musical arts in southern Vietnam. Located at 112 Nguyen Du Street, District 1, Ho Chi Minh City, the conservatory offers a comprehensive range of programs from Intermediate to Doctoral levels. Its academic structure includes specialized faculties such as Composition, Conducting, Musicology, Traditional Music, Western Instruments, Piano, Vocals, and Jazz-Pop-Rock with Music Technology. The institution is renowned for its prestigious Symphony and National Orchestras and maintains strong international partnerships, including student exchanges with the Krzysztof Penderecki Academy of Music in Poland. This conservatory stands as a cultural pillar, blending traditional Vietnamese musical heritage with global classical and contemporary standards.",ho-chi-minh-city-conservatory-of-music,0,https://hcmcons.vn,,"VND 15tr-40tr ($600-$1,600)",0,"Nestled in the heart of District 1, the campus is a sanctuary of artistic creativity where the air is constantly filled with the sounds of practicing instruments and vocal exercises. Students have access to a specialized music library, a dedicated Performance Center for recitals, and professional rehearsal spaces for the symphony and national orchestras. The environment is highly immersive, featuring masterclasses led by international virtuosos and a vibrant student community organized through the Youth Union. From the rigorous discipline of the practice rooms to the excitement of public concerts and the upcoming 70th-anniversary celebrations, the conservatory provides a holistic ecosystem where aspiring musicians refine their craft amidst the urban energy of Ho Chi Minh City.",0,0,0,0,,+842838225841,Tran Thi Hong Nga,https://hcmcons.vn/dao-tao-quan-ly-khoa-hoc-va-hop-tac-quoc-te,0,1,53,number_of_students=not_found; student_to_faculty_ratio=not_found
56,"Ho Chi Minh City University of Theatre and Cinema, Vietnam",704,"Established on October 13, 2009, the Ho Chi Minh City University of Theatre and Cinema was formed through the merger of the Stage Arts School II (est. 1976) and the Vietnam Cinema School in HCMC (est. 1977). Located at 125 Cong Quynh, District 1, Ho Chi Minh City, the institution is strategically positioned in the city center to supply high-quality artistic human resources to the southern region of Vietnam. The university offers a diverse range of programs from intermediate and college levels to undergraduate and postgraduate degrees, specializing in Stage and Cinema Acting, Directing, Cinematography, Screenwriting, and Design. It is highly distinguished by its students' achievements, including numerous Golden Kite and Silver Kite awards in cinema and gold medals at national and international theatre festivals. The university is unique for its deep integration of professional practice and international collaboration with institutions in France, Australia, South Korea, and Japan.",ho-chi-minh-city-university-of-theatre-and-cinema,0,http://skdahcm.edu.vn/,,"VND 15tr-30tr ($600-$1,200)",0,"Situated in the vibrant heart of District 1, the university provides an immersive artistic ecosystem where students are constantly connected to the city's cultural and entertainment pulse. The campus functions as a creative hub featuring specialized studios for acting and directing, where students engage in rigorous practical training and experimental performances. Student life is characterized by a high level of creative energy, with frequent graduation showcases, film screenings, and international exchange programs that bring global art experts to the classroom. This dynamic environment fosters a close-knit community of aspiring artists, many of whom become prominent stars in the Vietnamese film and theatre industry.",0,0,0,0,,+842838393658,,https://skdahcm.edu.vn/thong-bao-tuyen-sinh-dai-hoc-chinh-quy-nam-2026/,0,1,53,number_of_students=not_found; student_to_faculty_ratio=not_found
57,"Ho Chi Minh City University of Fine Arts, Vietnam",704,"Founded in 1913 as the Gia Dinh Drawing School, the Ho Chi Minh City University of Fine Arts is one of Vietnam's most historic and prestigious institutions for artistic training. Located in Ho Chi Minh City, the university has evolved from a colonial-era practical arts school into a comprehensive academic center. It offers specialized programs across three primary faculties: Fine Arts (specializing in Painting, Graphics, and Sculpture), Applied Arts (focusing on Graphic Design), and Art Theory & Pedagogy. The institution is uniquely distinguished by its historical blend of Western scientific artistic methods—established through its 1917 membership in the Central Association of Decorative Arts in Paris—and traditional Vietnamese aesthetic values. Today, it continues to produce the nation's leading painters, sculptors, and art educators through a rigorous curriculum led by a distinguished faculty of professors and masters.",ho-chi-minh-city-university-of-fine-arts,0,http://hcmufa.edu.vn/,,"VND 20tr-40tr ($800-$1,600)",0,"The campus serves as a vibrant sanctuary of creativity, characterized by spacious, light-filled studios where students immerse themselves in painting, sculpting, and graphic design. It features dedicated exhibition galleries that showcase emerging student talent, a specialized art library, and open-air courtyards that inspire artistic reflection and spontaneous sketching. The atmosphere is one of intense creative energy, with a community of artists collaborating across disciplines—from traditional lacquer painting to modern digital design—creating an immersive ecosystem where technical mastery meets personal artistic expression.",1500,23,2,1,nguyenvanminh@hcmufa.edu.vn,+842838222533,PGS.TS Nguyễn Văn Minh,,0,1,50,number_of_students=estimated; student_to_faculty_ratio=estimated; admissions_page_link=not_found
58,"Ho Chi Minh City University of Sport, Vietnam",704,"Celebrating its 50th anniversary, the Ho Chi Minh City University of Sport (USH) is a premier institution dedicated to sports science and physical education in Southern Vietnam. The university is located in Ho Chi Minh City and serves as a primary hub for athletic training and research. It houses specialized faculties including Physical Education, Sports Training, Sports Management, Sports Biomedicine, and Basic Knowledge & Industry Fundamentals. USH offers a comprehensive academic ladder ranging from undergraduate degrees and work-study programs to advanced Master's and Doctoral degrees. The institution is recognized as a 'locomotive' for sports science, uniquely blending professional athletic coaching with rigorous academic standards.",ho-chi-minh-city-university-of-sport,0,http://ush.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The campus is a high-energy environment where athletic excellence meets academic growth, featuring a specialized digital library and a dedicated Language and Informatics Center. Students are immersed in a vibrant culture of competition, highlighted by the traditional USH Athletics Tournament and participation in the national 'SV CUP' football championships. Beyond sports, the campus hosts the USH Media Club to drive digital transformation and the prestigious Olympic Gifted School for elite young athletes. From cultural camps like 'Tự hào nòi giống Tiên Rồng' to rigorous training sessions, the university provides a dynamic ecosystem that fosters both physical mastery and social development.",5000,20,1,1,,,,,0,1,58,number_of_students=estimated; admissions_page_link=not_found
59,"Ho Chi Minh City University of Culture, Vietnam",704,"The Ho Chi Minh City University of Culture is a specialized institution dedicated to the preservation and development of cultural values in southern Vietnam. Located at 51 Quoc Huong, An Khanh Ward, Ho Chi Minh City, the university serves as a primary hub for arts and cultural studies. It offers a comprehensive range of academic programs including undergraduate, Master's, and Doctoral degrees, with a strong focus on Tourism, Travel Service Management, and Cultural Heritage. The institution is highly regarded for its professional training in library science and publishing, ensuring a skilled workforce for the nation's cultural sector. A significant academic achievement includes its 'Culture and Resources' journal being recognized as a national scientific standard in 2026. The university is unique for its deep integration of academic research with community service and the active promotion of ethnic minority cultures.",ho-chi-minh-city-university-of-culture,0,https://www.hcmuc.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The campus environment is a vibrant blend of academic rigor and artistic expression, featuring two distinct campuses with dedicated student dormitories. Students enjoy access to a comprehensive library and engage in diverse extracurricular activities, from the annual Book Festival to emotive art exhibitions and cultural workshops. The university fosters a spirit of solidarity through sports events and strong partnerships with enterprises, providing students with practical experience in the cultural and tourism industries. With a core philosophy of 'Respect, Responsibility, and Friendliness,' the campus creates a supportive ecosystem where traditional Vietnamese values meet modern educational needs.",5000,20,1,1,,,,https://www.hcmuc.edu.vn/bolg/truong-dai-hoc-van-hoa-tp-ho-chi-minh-thong-bao-tuyen-sinh-trinh-do-thac-si-dot-1-nam-2026.html,0,2,58,number_of_students=estimated; website=not_found
60,"Hue Academy of Music, Vietnam",704,"The Hue Academy of Music is a premier specialized institution dedicated to the research, preservation, and promotion of musical arts in Central Vietnam and the Highlands. Located at 01 Le Loi Street, Hue City, the academy provides a comprehensive educational pathway from intermediate and undergraduate to postgraduate levels. Its curriculum spans Music Composition, Theory, Conducting, and a wide array of both Traditional Vietnamese and Western Instrument Performance. The institution is uniquely distinguished by its mission to safeguard UNESCO-recognized intangible cultural heritages, specifically Hue Court Music (Nhã nhạc) and the Gong Culture of the Central Highlands. By integrating international collaborations with institutions such as the Modena Conservatory in Italy, the academy blends global musical standards with deep-rooted Vietnamese traditions.",hue-academy-of-music,0,http://hocvienamnhachue.edu.vn/,,VND 15tr-20tr ($500-$800),0,"The campus serves as a vibrant artistic sanctuary centered around its professional Concert Hall, where students regularly perform and engage in high-level workshops. Students immerse themselves in a rich cultural environment, practicing in dedicated studios and performing with the General Traditional Orchestra and the Symphony-Choir Orchestra. The atmosphere is characterized by a blend of rigorous academic study and practical performance, featuring frequent guest appearances by international artists and collaborative concerts that bridge the gap between traditional Vietnamese sounds and global classical music.",600,12,2,1,vanphonghocvien@gmail.com,+842343819852,,http://hocvienamnhachue.edu.vn/vi/dao-tao-tuyen-sinh/tuyen-sinh-dao-tao-tuyen-sinh/thong-tin-tuyen-sinh/,0,1,75,financials=verified; number_of_students=estimated
61,"Bac Ninh University of Physical Education and Sports, Vietnam",704,"Founded in 1959, Bac Ninh University of Physical Education and Sports is a specialized institution dedicated to the advancement of sports science and physical education in Vietnam. Located in Bac Ninh province, the university serves as a key hub for training sports professionals, coaches, and educators. The institution offers a comprehensive range of academic paths, including regular undergraduate degrees as well as Master's and Doctoral programs in fields such as Physical Education and Sports Pedagogy. It has been recognized for its excellence and contributions to the sector, receiving a Certificate of Merit from the Prime Minister of Vietnam. The university is currently striving to become a leading center for sports teaching and coaching within Southeast Asia, emphasizing research and technology transfer.",bac-ninh-university-of-physical-education-and-sports,0,https://upes1.edu.vn,,"VND 15tr-30tr ($600-$1,200)",0,"The campus is a dynamic environment centered around athletic excellence, featuring specialized facilities such as a large gymnasium, a professional athletics track, and a combined multipurpose building for academic and social activities. Students engage in a vibrant community life through annual events like the university camping festival, Book and Reading Culture Day, and regular sports exchanges, including modern trends like Pickleball. The university fosters a supportive and democratic atmosphere through regular direct dialogue sessions between students and university leadership to improve educational quality. Furthermore, the presence of international students from Laos and Cambodia creates a multicultural sporting community, blending rigorous physical training with personal growth.",4000,20,3,1,,,,,1,1,58,number_of_students=estimated; admissions_page_link=not_found
